"","id","title","author","year","total_weeks","first_week","debut_rank","best_rank"
"418",1373,"DEATH OF THE FOX","George P. Garrett",1971,2,1971-11-07,1,9
"419",1374,"DEATH ON THE D-LIST","Nancy Grace",2010,1,2010-08-29,11,13
"420",1375,"DEATH QUEST","L. Ron Hubbard",1987,4,1987-01-25,4,10
"421",1376,"DEATH STAR","Michael Reaves and Steve Perry",2007,1,2007-11-04,1,15
"422",1377,"DEATH TROOPERS","Joe Schreiber",2009,1,2009-11-01,2,13
"423",1378,"DEATH WEARS A BEAUTY MASK AND OTHER STORIES","Mary Higgins Clark",2015,2,2015-05-17,15,12
"424",1379,"DEATH'S MISTRESS","Terry Goodkind",2017,1,2017-02-12,5,10
"425",138,"A LESSON IN SECRETS","Jacqueline Winspear",2011,1,2011-04-10,4,6
"426",1380,"DEATH’S EXCELLENT VACATION","edited by Charlaine Harris and Toni L. P. Kelner",2010,1,2010-08-22,6,8
"427",1381,"DEBORAH","Marian Castle",1946,5,1946-06-16,7,13
"428",1382,"DEBT OF HONOR","Tom Clancy",1994,25,1994-09-04,14,1
"429",1383,"DECEIVED","Paul S. Kemp",2011,1,2011-04-10,11,13
"430",1384,"DECEMBER 6","Martin Cruz Smith",2002,1,2002-10-27,8,13
"431",1385,"DECEPTION","Amanda Quick",1993,2,1993-06-27,1,15
"432",1386,"DECEPTION","Jonathan Kellerman",2010,4,2010-04-18,6,4
"433",1387,"DECEPTION","Philip Roth",1990,3,1990-04-01,10,13
"434",1388,"DECEPTION ON HIS MIND","Elizabeth George",1997,6,1997-07-20,12,8
"435",1389,"DECEPTIONS","Judith Michael",1982,2,1982-05-30,7,11
"436",139,"A LICK OF FROST","Laurell K. Hamilton",2007,3,2007-11-11,3,2
"437",1390,"DECIDER","Dick Francis",1993,8,1993-10-31,8,7
"438",1391,"DECISION AT DELPHI","Helen MacInnes",1960,26,1960-11-13,16,5
"439",1392,"DECK THE HALLS","Mary Higgins Clark and Carol Higgins Clark",2000,10,2000-11-12,1,3
"440",1393,"DEEP BLUE","Randy Wayne White",2016,2,2016-04-03,13,7
"441",1394,"DEEP DARK RIVER","Robert Rylee",1935,3,1935-07-08,5,4
"442",1395,"DEEP DISH","Mary Kay Andrews",2008,1,2008-03-16,5,13
"443",1396,"DEEP FREEZE","John Sandford",2017,4,2017-11-05,3,2
"444",1397,"DEEP SHADOW","Randy Wayne White",2010,3,2010-03-28,8,6
"445",1398,"DEEP SIX","Clive Cussler",1984,15,1984-06-03,3,5
"446",1399,"DEEP SOUTH","Nevada Barr",2000,2,2000-04-09,2,14
"447",14,"10TH ANNIVERSARY","James Patterson and Maxine Paetro",2011,8,2011-05-22,3,2
"448",140,"A LIGHT IN THE WINDOW","Mary Roberts Rinehart.",1948,12,1948-02-01,3,5
"449",1400,"DEEP STORM","Lincoln Child",2007,3,2007-02-18,8,7
"450",1401,"DEEP WATERS","Jayne Ann Krentz",1997,3,1997-02-02,12,9
"451",1402,"DEEPER THAN THE DEAD","Tami Hoag",2010,4,2010-01-17,11,7
"452",1403,"DEEPLY ODD","Dean Koontz",2013,3,2013-06-16,7,3
"453",1404,"DEFENDING JACOB","William Landay",2012,9,2012-02-19,1,3
"454",1405,"DEFINITELY DEAD","Charlaine Harris",2006,3,2006-05-21,8,8
"455",1406,"DEGREE OF GUILT","Richard North Patterson",1993,11,1993-01-31,14,3
"456",1407,"DEJA DEAD","Kathy Reichs",1997,7,1997-09-14,10,8
"457",1408,"DELICIOUS!","Ruth Reichl",2014,1,2014-05-25,3,11
"458",1409,"DELILAH","Marcus Goodrich",1941,11,1941-02-10,4,3
"459",141,"A LION AMONG MEN","Gregory Maguire",2008,4,2008-11-02,11,4
"460",1410,"DELIVER US FROM EVIL","David Baldacci",2010,6,2010-05-09,2,1
"461",1411,"DELIVERANCE","James Dickey",1970,26,1970-04-12,2,3
"462",1412,"DELTA OF VENUS","Anais Nin",1977,36,1977-08-07,1,4
"463",1413,"DELTA WEDDING","Eudora Welty",1946,5,1946-05-12,3,12
"464",1414,"DELUSION IN DEATH","J. D. Robb",2012,3,2012-09-30,3,4
"465",1415,"DELUXE TOUR","Frederic Wakeman",1956,3,1956-11-18,12,12
"466",1416,"DEMOCRACY","Joan Didion",1984,4,1984-05-20,6,12
"467",1417,"DEMON LORD OF KARANDA","David Eddings",1988,7,1988-08-28,13,7
"468",1418,"DENSE MACABRE","Laurell K. Hamilton",2006,1,2006-07-16,3,2
"469",1419,"DEPRAVED HEART","Patricia Cornwell",2015,3,2015-11-15,3,3
"470",142,"A LION IS IN THE STREETS","Adria Locke Langley",1945,30,1945-06-10,5,1
"471",1420,"DEPTH OF WINTER","Craig Johnson",2018,2,2018-09-23,5,5
"472",1421,"DEPTHS OF GLORY","Irving Stone",1985,4,1985-10-20,15,11
"473",1422,"DERAILED","James Siegel",2003,1,2003-03-09,8,16
"474",1423,"DESCENT","Tim Johnston",2015,1,2015-02-22,14,15
"475",1424,"DESCENT FROM XANADU","Harold Robbins",1984,8,1984-04-29,3,6
"476",1425,"DESECRATION","Tim LaHaye and Jerry B. Jenkins",2001,12,2001-11-18,15,1
"477",1426,"DESERT GOD","Wilbur Smith",2014,1,2014-11-09,16,6
"478",1427,"DESIGNATION GOLD","Richard Marcinko and John Weisman",1997,2,1997-03-09,12,15
